,Depth,Archella flavum,Amphitrema stenostoma,Amphitrema wrightianum,Arcella catinus type,Arcella discoides type,Assulina muscorum,Assulina seminulum,Bullinaria indica,Centropyxis aculeata type,Cyclopyxis arcelloides type,Trigonopyxis arcula,Difflugia lucida type,Difflugia pristis type,Difflugia pulex,Difflugia rubescens,Cryptodifflugia oviformis,Euglypha rotunda type,Euglypha tuberculata type,Heleopera petricola,Heleopera rosea,Heleopera sphagni,Heleopera sylvetica,Hyalosphenia elegans,Hyalosphenia papilio,Hyalosphenia subflava,Nebela carinata,Nebela flabellulum,Nebela militaris,Nebela parvula,Nebela tincta,Alona rustica,Spermatophore of Copepoda,Rotifor,No. of testates per 1cm*1000,Mean Water Table Depth (mm),Zones
Graph Type,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,4,3,0
"Depth Bar Colour - Graphs 1, 2 ",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Depth Bar width - Graphs 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0
Depth Bar width - Graphs 2  ,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0
"Line Style - Graphs 2, 3, 4, 5",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"Line Colour - Graphs 2, 3, 4, 5",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"Fill Colour- Graphs 2,4",0,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,0,0,0,2,0,0
"Fill Colour Transparency  - Graphs 2,4",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.7,0,0
"Line width - Graphs 2, 3, 4, 5",0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0
"Marker Type - Graphs 5, 6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
